input_gene_symbol;official_gene_symbol;ensembl_gene_id;lookup_status;species;chromosome;gene_start;gene_end;strand;strand_symbol;assembly_name;flanking_bp;region_start;region_end;upstream_start;upstream_end;downstream_start;downstream_end;biotype;object_type;source
CSF1;CSF1;ENSG00000184371;found;homo_sapiens;1;109910242;109930993;1;+;GRCh38;50000;109860242;109980993;109860242;109910241;109930994;109980993;protein_coding;Gene;Ensembl REST
CSF1R;CSF1R;ENSG00000182578;found;homo_sapiens;5;150053291;150113372;-1;-;GRCh38;50000;150003291;150163372;150113373;150163372;150003291;150053290;protein_coding;Gene;Ensembl REST
CST3;CST3;ENSG00000101439;found;homo_sapiens;20;23626706;23638556;-1;-;GRCh38;50000;23576706;23688556;23638557;23688556;23576706;23626705;protein_coding;Gene;Ensembl REST
CTSA;CTSA;ENSG00000064601;found;homo_sapiens;20;45890144;45898949;1;+;GRCh38;50000;45840144;45948949;45840144;45890143;45898950;45948949;protein_coding;Gene;Ensembl REST
CTSC;CTSC;ENSG00000109861;found;homo_sapiens;11;88265069;88359684;-1;-;GRCh38;50000;88215069;88409684;88359685;88409684;88215069;88265068;protein_coding;Gene;Ensembl REST
CTSL;CTSL;ENSG00000135047;found;homo_sapiens;9;87724051;87731469;1;+;GRCh38;50000;87674051;87781469;87674051;87724050;87731470;87781469;protein_coding;Gene;Ensembl REST
CTSZ;CTSZ;ENSG00000101160;found;homo_sapiens;20;58985686;59008238;-1;-;GRCh38;50000;58935686;59058238;59008239;59058238;58935686;58985685;protein_coding;Gene;Ensembl REST
CXCL1;CXCL1;ENSG00000163739;found;homo_sapiens;4;73868963;73871388;1;+;GRCh38;50000;73818963;73921388;73818963;73868962;73871389;73921388;protein_coding;Gene;Ensembl REST
CXCL2;CXCL2;ENSG00000081041;found;homo_sapiens;4;74096842;74099196;-1;-;GRCh38;50000;74046842;74149196;74099197;74149196;74046842;74096841;protein_coding;Gene;Ensembl REST
CXCL3;CXCL3;ENSG00000163734;found;homo_sapiens;4;74036589;74038807;-1;-;GRCh38;50000;73986589;74088807;74038808;74088807;73986589;74036588;protein_coding;Gene;Ensembl REST
FN1;FN1;ENSG00000115414;found;homo_sapiens;2;215359468;215436120;-1;-;GRCh38;50000;215309468;215486120;215436121;215486120;215309468;215359467;protein_coding;Gene;Ensembl REST
GAA;GAA;ENSG00000171298;found;homo_sapiens;17;80101526;80119881;1;+;GRCh38;50000;80051526;80169881;80051526;80101525;80119882;80169881;protein_coding;Gene;Ensembl REST
GUSB;GUSB;ENSG00000169919;found;homo_sapiens;7;65960677;65982704;-1;-;GRCh38;50000;65910677;66032704;65982705;66032704;65910677;65960676;protein_coding;Gene;Ensembl REST
HEXB;HEXB;ENSG00000049860;found;homo_sapiens;5;74640023;74722647;1;+;GRCh38;50000;74590023;74772647;74590023;74640022;74722648;74772647;protein_coding;Gene;Ensembl REST
IFI30;IFI30;ENSG00000216490;found;homo_sapiens;19;18173150;18178122;1;+;GRCh38;50000;18123150;18228122;18123150;18173149;18178123;18228122;protein_coding;Gene;Ensembl REST
IL1RN;IL1RN;ENSG00000136689;found;homo_sapiens;2;113099315;113134016;1;+;GRCh38;50000;113049315;113184016;113049315;113099314;113134017;113184016;protein_coding;Gene;Ensembl REST
ITGAM;ITGAM;ENSG00000169896;found;homo_sapiens;16;31259954;31332892;1;+;GRCh38;50000;31209954;31382892;31209954;31259953;31332893;31382892;protein_coding;Gene;Ensembl REST
ITGB2;ITGB2;ENSG00000160255;found;homo_sapiens;21;44885948;44932079;-1;-;GRCh38;50000;44835948;44982079;44932080;44982079;44835948;44885947;protein_coding;Gene;Ensembl REST
LBP;LBP;ENSG00000129988;found;homo_sapiens;20;38346076;38378131;1;+;GRCh38;50000;38296076;38428131;38296076;38346075;38378132;38428131;protein_coding;Gene;Ensembl REST
LCP1;LCP1;ENSG00000136167;found;homo_sapiens;13;46125920;46211871;-1;-;GRCh38;50000;46075920;46261871;46211872;46261871;46075920;46125919;protein_coding;Gene;Ensembl REST
LYZ;LYZ;ENSG00000090382;found;homo_sapiens;12;69348381;69354237;1;+;GRCh38;50000;69298381;69404237;69298381;69348380;69354238;69404237;protein_coding;Gene;Ensembl REST
MAN2B1;MAN2B1;ENSG00000104774;found;homo_sapiens;19;12643831;12666762;-1;-;GRCh38;50000;12593831;12716762;12666763;12716762;12593831;12643830;protein_coding;Gene;Ensembl REST
MMP12;MMP12;ENSG00000262406;found;homo_sapiens;11;102862734;102874990;-1;-;GRCh38;50000;102812734;102924990;102874991;102924990;102812734;102862733;protein_coding;Gene;Ensembl REST
MMP13;MMP13;ENSG00000137745;found;homo_sapiens;11;102942994;102955740;-1;-;GRCh38;50000;102892994;103005740;102955741;103005740;102892994;102942993;protein_coding;Gene;Ensembl REST
MMP2;MMP2;ENSG00000087245;found;homo_sapiens;16;55389700;55508058;1;+;GRCh38;50000;55339700;55558058;55339700;55389699;55508059;55558058;protein_coding;Gene;Ensembl REST
MMP9;MMP9;ENSG00000100985;found;homo_sapiens;20;46008869;46016561;1;+;GRCh38;50000;45958869;46066561;45958869;46008868;46016562;46066561;protein_coding;Gene;Ensembl REST
MSR1;MSR1;ENSG00000038945;found;homo_sapiens;8;16107878;16567490;-1;-;GRCh38;50000;16057878;16617490;16567491;16617490;16057878;16107877;protein_coding;Gene;Ensembl REST
PF4;PF4;ENSG00000163737;found;homo_sapiens;4;73980759;73982111;-1;-;GRCh38;50000;73930759;74032111;73982112;74032111;73930759;73980758;protein_coding;Gene;Ensembl REST
SERPING1;SERPING1;ENSG00000149131;found;homo_sapiens;11;57597387;57619246;1;+;GRCh38;50000;57547387;57669246;57547387;57597386;57619247;57669246;protein_coding;Gene;Ensembl REST
SPP1;SPP1;ENSG00000118785;found;homo_sapiens;4;87975667;87983532;1;+;GRCh38;50000;87925667;88033532;87925667;87975666;87983533;88033532;protein_coding;Gene;Ensembl REST
THBS1;THBS1;ENSG00000137801;found;homo_sapiens;15;39580130;39599466;1;+;GRCh38;50000;39530130;39649466;39530130;39580129;39599467;39649466;protein_coding;Gene;Ensembl REST
TIMP1;TIMP1;ENSG00000102265;found;homo_sapiens;X;47582227;47586793;1;+;GRCh38;50000;47532227;47636793;47532227;47582226;47586794;47636793;protein_coding;Gene;Ensembl REST
TIMP2;TIMP2;ENSG00000035862;found;homo_sapiens;17;78852977;78925396;-1;-;GRCh38;50000;78802977;78975396;78925397;78975396;78802977;78852976;protein_coding;Gene;Ensembl REST
TNF;TNF;ENSG00000232810;found;homo_sapiens;6;31575558;31578336;1;+;GRCh38;50000;31525558;31628336;31525558;31575557;31578337;31628336;protein_coding;Gene;Ensembl REST
TPP1;TPP1;ENSG00000166340;found;homo_sapiens;11;6612768;6619448;-1;-;GRCh38;50000;6562768;6669448;6619449;6669448;6562768;6612767;protein_coding;Gene;Ensembl REST
VCAN;VCAN;ENSG00000038427;found;homo_sapiens;5;83471618;83585130;1;+;GRCh38;50000;83421618;83635130;83421618;83471617;83585131;83635130;protein_coding;Gene;Ensembl REST
VEGFA;VEGFA;ENSG00000112715;found;homo_sapiens;6;43770184;43786487;1;+;GRCh38;50000;43720184;43836487;43720184;43770183;43786488;43836487;protein_coding;Gene;Ensembl REST
